id,region,game_mode,patch,blue_team,red_team,winning_team
69,NA1,ARAM,14.13.596.7996,"{Lillia,Ezreal,Mordekaiser,Xayah,Samira}","{Gragas,Pantheon,Soraka,Varus,Caitlyn}",0
70,NA1,ARAM,14.13.596.7996,"{Swain,Nautilus,Teemo,Xayah,Karma}","{Rumble,Akshan,Pantheon,Jayce,Corki}",0
71,NA1,ARAM,14.13.596.7996,"{Karma,Garen,Blitzcrank,Urgot,Illaoi}","{Riven,AurelionSol,Ivern,Kaisa,Xerath}",1
72,NA1,ARAM,14.13.598.9749,"{Annie,Sett,Ezreal,Zed,Nasus}","{Lux,Ahri,LeeSin,Taliyah,Karma}",0
73,NA1,ARAM,14.13.596.7996,"{Urgot,Nami,Lulu,Renekton,Thresh}","{Zac,Corki,Udyr,Akshan,Lissandra}",0
74,NA1,ARAM,14.13.596.7996,"{Brand,KSante,Senna,Hwei,Thresh}","{MissFortune,Darius,Fiora,TahmKench,Tristana}",1
76,NA1,ARAM,14.13.598.9749,"{Bard,Leona,Kaisa,Akali,Azir}","{Xerath,Taliyah,Yorick,Hecarim,Heimerdinger}",1
78,NA1,ARAM,14.13.596.7996,"{Ezreal,Ahri,Sona,Jinx,Rakan}","{Lissandra,Kaisa,Gnar,Anivia,RekSai}",0
82,NA1,ARAM,14.13.596.7996,"{Kaisa,Ashe,Gangplank,Brand,Anivia}","{Skarner,Jhin,Sona,LeeSin,Lucian}",1
87,NA1,ARAM,14.13.596.7996,"{Karthus,Swain,Teemo,Lux,Twitch}","{Ziggs,Pyke,LeeSin,Ezreal,Kindred}",0
90,NA1,ARAM,14.13.596.7996,"{TwistedFate,Pyke,Seraphine,Kayle,Maokai}","{Veigar,Morgana,Velkoz,Draven,Fizz}",0
91,NA1,ARAM,14.13.596.7996,"{Karthus,Lissandra,Senna,Tristana,Shyvana}","{Bard,Zoe,Draven,Xerath,Syndra}",0
92,NA1,ARAM,14.13.598.9749,"{Veigar,Malphite,Lucian,Chogath,Khazix}","{Kayle,Pyke,AurelionSol,Taliyah,Varus}",1
93,NA1,ARAM,14.13.596.7996,"{Nidalee,Poppy,KogMaw,Elise,Soraka}","{Morgana,Skarner,Velkoz,Pantheon,Orianna}",1
94,NA1,ARAM,14.13.596.7996,"{AurelionSol,Morgana,Jhin,Nautilus,MissFortune}","{Corki,Fiora,Thresh,Akshan,Elise}",1
95,NA1,ARAM,14.13.596.7996,"{Irelia,Kayle,Soraka,Chogath,Ashe}","{Zac,Jinx,Nami,Belveth,Volibear}",0
96,NA1,ARAM,14.13.596.7996,"{Akali,Ekko,Tryndamere,Morgana,Azir}","{Aatrox,Jhin,TwistedFate,Sylas,Riven}",0
98,NA1,ARAM,14.13.596.7996,"{Nasus,Malzahar,Zilean,Sion,Jax}","{Garen,Ziggs,Lissandra,Fizz,Kayle}",0
99,NA1,ARAM,14.13.596.7996,"{Fizz,Shaco,Corki,Taric,Tristana}","{Zoe,Elise,Ashe,Xayah,Sion}",1
100,NA1,ARAM,14.13.598.9749,"{Yorick,Ezreal,Blitzcrank,Yone,Khazix}","{DrMundo,Jax,Vayne,TwistedFate,Annie}",0
102,NA1,ARAM,14.13.596.7996,"{TwistedFate,Pantheon,TahmKench,Brand,Amumu}","{Zed,Ziggs,Rengar,Neeko,Ezreal}",1
103,NA1,ARAM,14.13.596.7996,"{Yuumi,Ekko,Sejuani,Mordekaiser,Ezreal}","{Lux,MissFortune,Chogath,Thresh,Jinx}",0
106,NA1,ARAM,14.13.596.7996,"{Viego,Nunu,Yasuo,Ryze,Kayle}","{Neeko,Malphite,Jayce,Akali,Aphelios}",0
109,NA1,ARAM,14.13.598.9749,"{Senna,AurelionSol,Caitlyn,Janna,JarvanIV}","{Lissandra,Viktor,Gnar,TwistedFate,Thresh}",0
110,NA1,ARAM,14.13.598.9749,"{MasterYi,Nami,Zilean,Briar,Leblanc}","{Sett,Karthus,Tryndamere,Ornn,Akali}",1
115,NA1,ARAM,14.13.596.7996,"{Nautilus,Rell,Viego,Aatrox,Lucian}","{Ziggs,JarvanIV,Pantheon,Twitch,Samira}",0
116,NA1,ARAM,14.13.596.7996,"{Renekton,Graves,Ezreal,Draven,Sett}","{Thresh,Garen,Syndra,AurelionSol,Lux}",1
117,NA1,ARAM,14.13.598.9749,"{Akali,Kaisa,JarvanIV,Jinx,Syndra}","{Anivia,Janna,Caitlyn,Ahri,MissFortune}",0
118,NA1,ARAM,14.13.598.9749,"{Jinx,Karma,Urgot,Akshan,Tristana}","{Jayce,Samira,Amumu,Blitzcrank,Gnar}",0
120,NA1,ARAM,14.13.596.7996,"{Lux,Ornn,Shaco,MissFortune,Brand}","{Caitlyn,Galio,DrMundo,Malphite,Cassiopeia}",0
121,NA1,ARAM,14.13.596.7996,"{Zyra,Malphite,Taliyah,Pantheon,XinZhao}","{Renekton,Leblanc,Blitzcrank,JarvanIV,Syndra}",1
124,NA1,ARAM,14.13.598.9749,"{AurelionSol,MissFortune,Pantheon,Xerath,Akshan}","{Chogath,LeeSin,Nautilus,Lillia,Zed}",1
125,NA1,ARAM,14.13.598.9749,"{Nunu,Ahri,Veigar,Karma,Nautilus}","{Caitlyn,Ornn,Brand,Thresh,FiddleSticks}",1
126,NA1,ARAM,14.13.596.7996,"{Sona,Cassiopeia,Sion,Illaoi,Smolder}","{LeeSin,Xerath,Morgana,RekSai,Akali}",0
127,NA1,ARAM,14.13.598.9749,"{Kayle,Milio,Zyra,Jhin,FiddleSticks}","{Morgana,Ashe,Lux,Smolder,Hwei}",0
128,NA1,ARAM,14.13.598.9749,"{Ahri,Vex,Akali,Lillia,Varus}","{Cassiopeia,Draven,Karma,Kindred,MissFortune}",1
129,NA1,ARAM,14.13.596.7996,"{Twitch,Malzahar,Viktor,Karma,Malphite}","{Vayne,Shaco,Renekton,Smolder,Neeko}",0
130,NA1,ARAM,14.13.598.9749,"{Khazix,Riven,Zyra,FiddleSticks,Hecarim}","{Zilean,Malphite,Vayne,Vi,Kayle}",0
132,NA1,ARAM,14.13.596.7996,"{Ashe,Nasus,Shen,Urgot,Soraka}","{Garen,Leblanc,KogMaw,Ahri,Orianna}",1
135,NA1,ARAM,14.13.598.9749,"{Gwen,Lucian,Yasuo,Annie,Xerath}","{Corki,Aatrox,Teemo,MasterYi,Janna}",1
137,NA1,ARAM,14.13.598.9749,"{Jinx,Varus,Skarner,Karma,Veigar}","{Senna,LeeSin,Yuumi,Samira,Brand}",0
138,NA1,ARAM,14.13.598.9749,"{Qiyana,Veigar,Malphite,Fizz,Nautilus}","{Sejuani,Skarner,Pantheon,Brand,Fiora}",1
140,NA1,ARAM,14.13.596.7996,"{Sylas,Ahri,Karthus,Vayne,Nunu}","{Quinn,Riven,Nami,Vladimir,Aatrox}",0
141,NA1,ARAM,14.13.596.7996,"{Soraka,TwistedFate,Annie,Tryndamere,Urgot}","{Katarina,Taric,Sejuani,LeeSin,Gnar}",1
142,NA1,ARAM,14.13.596.7996,"{Qiyana,Morgana,Caitlyn,Jinx,Kindred}","{Pyke,Malphite,Zyra,Fizz,Corki}",1
143,NA1,ARAM,14.13.598.9749,"{Leblanc,Ekko,Katarina,Vayne,Jhin}","{Nami,Janna,Morgana,Warwick,Gragas}",1
146,NA1,ARAM,14.13.596.7996,"{Milio,Renekton,Jhin,Fizz,Velkoz}","{Senna,Brand,Malzahar,Kalista,Ezreal}",0
149,NA1,ARAM,14.13.596.7996,"{Sona,Graves,Katarina,Malzahar,Fizz}","{Quinn,Yuumi,Jhin,Ekko,Pyke}",0
150,NA1,ARAM,14.13.598.9749,"{Jhin,Pyke,Ashe,Lulu,Syndra}","{Nami,Renekton,Renata,Brand,Ahri}",0
151,NA1,ARAM,14.13.596.7996,"{MissFortune,Mordekaiser,Illaoi,Lux,Velkoz}","{Hwei,Quinn,Seraphine,Malzahar,LeeSin}",1
152,NA1,ARAM,14.13.596.7996,"{Quinn,Maokai,Velkoz,Kaisa,Kled}","{Skarner,Irelia,Annie,Varus,Leona}",0
155,NA1,ARAM,14.13.596.7996,"{Ezreal,Garen,KogMaw,Kennen,Jayce}","{Zoe,Twitch,AurelionSol,Malphite,Quinn}",0
159,NA1,ARAM,14.13.598.9749,"{Darius,Sivir,Khazix,Annie,Nilah}","{Kayn,Galio,Azir,Neeko,Kaisa}",1
161,NA1,ARAM,14.13.596.7996,"{Kaisa,Bard,Jayce,Draven,Kayle}","{Ahri,Taliyah,Nidalee,Poppy,Katarina}",0
163,NA1,ARAM,14.13.596.7996,"{KogMaw,Seraphine,Chogath,Jax,Amumu}","{Lissandra,Nasus,Hwei,Heimerdinger,Zilean}",0
164,NA1,ARAM,14.13.596.7996,"{KogMaw,Viego,KSante,Janna,Leblanc}","{Graves,Senna,Mordekaiser,Annie,Orianna}",1
165,NA1,ARAM,14.13.598.9749,"{Janna,Kalista,Cassiopeia,Shaco,Syndra}","{Elise,Amumu,Gangplank,Belveth,Hwei}",0
166,NA1,ARAM,14.13.596.7996,"{Teemo,Janna,Kassadin,DrMundo,Yuumi}","{Xerath,Gnar,TwistedFate,Zoe,Kalista}",0
167,NA1,ARAM,14.13.596.7996,"{XinZhao,Jayce,Seraphine,Yuumi,Katarina}","{Lux,Velkoz,TwistedFate,Ezreal,Khazix}",0
168,NA1,ARAM,14.13.598.9749,"{Nami,Ziggs,Jinx,Nautilus,Darius}","{Pyke,Syndra,Nilah,Hwei,Brand}",0
169,NA1,ARAM,14.13.596.7996,"{Rengar,Twitch,Ornn,Annie,Yuumi}","{Vladimir,Corki,Rell,Taliyah,Kalista}",1
170,NA1,ARAM,14.13.596.7996,"{Annie,Malphite,Graves,Syndra,AurelionSol}","{Volibear,Ashe,Viego,Akshan,Jayce}",0
171,NA1,ARAM,14.13.596.7996,"{Twitch,Leona,Karthus,Brand,Galio}","{Janna,Kalista,Vex,Caitlyn,Senna}",1
172,NA1,ARAM,14.13.596.7996,"{Vi,Anivia,Draven,Briar,Garen}","{Ahri,Khazix,Rengar,TwistedFate,Smolder}",1
173,NA1,ARAM,14.13.596.7996,"{Vex,Zyra,Riven,Sion,Morgana}","{Corki,Smolder,Ziggs,Velkoz,Kled}",0
