id,match_id,region,game_mode,elo,version,blue_one,blue_two,blue_three,blue_four,blue_five,red_one,red_two,red_three,red_four,red_five,winning_team
2349,NA1_5034510634,NA1,ARAM,SILVER I,14.13.598.9749,Sion,Riven,Lucian,Khazix,Zoe,Sona,Nautilus,Nasus,Sett,Kayn,1
2350,NA1_5034501921,NA1,ARAM,IRON II,14.13.598.9749,Aatrox,Swain,TahmKench,Caitlyn,Ahri,Velkoz,Trundle,Veigar,Nautilus,Senna,1
2351,NA1_5034480378,NA1,ARAM,UNRANKED,14.13.598.9749,Volibear,Brand,Nidalee,Kaisa,Viktor,Zilean,MasterYi,Tristana,MissFortune,Veigar,1
2352,NA1_5034463358,NA1,ARAM,EMERALD IV,14.13.598.9749,Ryze,Ezreal,Zilean,Ahri,Gwen,Galio,Brand,Thresh,Vayne,Taliyah,1
2353,NA1_5033623674,NA1,ARAM,UNRANKED,14.13.598.9749,Veigar,Trundle,Orianna,Nami,Tristana,Karma,Ashe,AurelionSol,Viktor,MasterYi,0
2354,NA1_5033619021,NA1,ARAM,UNRANKED,14.13.598.9749,Volibear,Kennen,Kindred,Karma,Aatrox,Graves,Tristana,Orianna,Vex,Caitlyn,1
2355,NA1_5033602474,NA1,ARAM,UNRANKED,14.13.598.9749,Sion,Jhin,Kaisa,Braum,Kennen,Nidalee,Pantheon,Tristana,Zilean,Singed,0
2356,NA1_5033593153,NA1,ARAM,UNRANKED,14.13.598.9749,Caitlyn,Karma,Renata,Xayah,Trundle,Nidalee,Jayce,Ashe,Jhin,Swain,0
2357,NA1_5033585867,NA1,ARAM,UNRANKED,14.13.598.9749,Sona,DrMundo,Graves,Ezreal,AurelionSol,Malphite,Belveth,Ornn,Akali,Lux,1
2358,NA1_5033567705,NA1,ARAM,UNRANKED,14.13.598.9749,Varus,Azir,Gangplank,Kayle,Maokai,Kayn,Twitch,Leona,Sett,Zeri,0
2359,NA1_5033560014,NA1,ARAM,UNRANKED,14.13.598.9749,Blitzcrank,Heimerdinger,Vex,Braum,Malzahar,Malphite,Kennen,MasterYi,Evelynn,Nami,1
2360,NA1_5033385156,NA1,ARAM,UNRANKED,14.13.598.9749,Zac,Leblanc,AurelionSol,Twitch,Velkoz,Anivia,Lucian,Jayce,Singed,Lissandra,0
2361,NA1_5033379569,NA1,ARAM,UNRANKED,14.13.598.9749,Shyvana,Brand,Chogath,Gnar,Kayle,Syndra,Leona,Kalista,Velkoz,Vayne,1
2362,NA1_5033376535,NA1,ARAM,UNRANKED,14.13.598.9749,Nidalee,Senna,Yorick,Kennen,Nautilus,Yuumi,Briar,Kassadin,Yasuo,Zeri,1
2363,NA1_5031632679,NA1,ARAM,UNRANKED,14.13.598.9749,Vayne,Malzahar,Gangplank,Ornn,LeeSin,Karthus,Zyra,Irelia,Khazix,Ahri,0
2364,NA1_5031625452,NA1,ARAM,UNRANKED,14.13.598.9749,Thresh,Kaisa,Brand,LeeSin,Jinx,Corki,Janna,Shaco,Caitlyn,Vladimir,1
2365,NA1_5031618696,NA1,ARAM,UNRANKED,14.13.598.9749,AurelionSol,Annie,Ashe,Jhin,FiddleSticks,Pyke,Sona,Zyra,Garen,Senna,1
2366,NA1_5031613320,NA1,ARAM,UNRANKED,14.13.598.9749,Taliyah,Zac,Rumble,Graves,TwistedFate,Leblanc,Briar,RekSai,Kaisa,Rakan,0
2367,NA1_5031611124,NA1,ARAM,UNRANKED,14.13.598.9749,Morgana,Jinx,Alistar,MissFortune,Thresh,Singed,Vladimir,Renekton,Ryze,RekSai,0
2624,NA1_5032342787,NA1,ARAM,PLATINUM III,14.13.598.9749,Fiora,Lucian,Sett,Teemo,Swain,Renata,Khazix,Graves,Orianna,Gwen,1
2369,NA1_5031328936,NA1,ARAM,UNRANKED,14.13.598.9749,Chogath,Malphite,Caitlyn,Jinx,Taliyah,Jhin,Rumble,Yone,Twitch,Mordekaiser,1
2370,NA1_5030961988,NA1,ARAM,UNRANKED,14.13.596.7996,Qiyana,Vladimir,Nami,Graves,Nasus,Lulu,JarvanIV,AurelionSol,Tristana,Caitlyn,1
2371,NA1_5030915382,NA1,ARAM,UNRANKED,14.13.596.7996,Khazix,Fizz,Vex,Zilean,Malphite,Brand,Jhin,LeeSin,Xayah,Rammus,0
2372,NA1_5030296854,NA1,ARAM,UNRANKED,14.13.596.7996,Heimerdinger,Aphelios,Leona,Ezreal,Morgana,Irelia,Malzahar,Malphite,Nidalee,Thresh,0
2373,NA1_5032600533,NA1,ARAM,UNRANKED,14.13.598.9749,Fizz,Ahri,Jinx,Rammus,MonkeyKing,Viktor,Amumu,Zed,Pantheon,Senna,1
2374,NA1_5032587913,NA1,ARAM,UNRANKED,14.13.598.9749,Elise,Lillia,Nami,Thresh,Graves,Yuumi,Velkoz,Sivir,Ahri,Brand,0
